Rank,Released,Movie,"Domestic
Box Office","International
Box Office","Worldwide
Box Office"
385,1980,Caddyshack,"$39,846,344","$3,420","$39,849,764"
386,1988,Tequila Sunrise,"$39,703,427",,"$39,703,427"
387,1991,Out for Justice,"$39,673,161",,"$39,673,161"
388,2008,Body of Lies,"$39,394,666","$79,161,864","$118,556,530"
389,1990,Joe Versus the Volcano,"$39,381,963",,"$39,381,963"
390,2017,King Arthur: Legend of the Sword,"$39,175,066","$100,455,270","$139,630,336"
391,2005,The Sisterhood of the Traveling Pants,"$39,053,061","$2,507,056","$41,560,117"
392,2011,Something Borrowed,"$39,046,489","$26,037,627","$65,084,116"
393,1986,Little Shop of Horrors,"$38,747,385",,"$38,747,385"
394,1994,On Deadly Ground,"$38,590,458",,"$38,590,458"
395,2012,Rock of Ages,"$38,518,613","$22,513,319","$61,031,932"
396,1984,City Heat,"$38,348,988",,"$38,348,988"
397,1979,The In-Laws,"$38,200,000",,"$38,200,000"
398,2009,Ninja Assassin,"$38,122,883","$24,087,009","$62,209,892"
399,2008,Harold & Kumar Escape from Guantanamo Bay,"$38,108,728","$5,244,389","$43,353,117"
400,1994,Ri¢hie Ri¢h,"$38,087,756",,"$38,087,756"
401,2002,Showtime,"$37,948,765","$41,000,000","$78,948,765"
402,1988,The Dead Pool,"$37,903,000",,"$37,903,000"
403,1996,Mars Attacks!,"$37,771,017","$63,600,000","$101,371,017"
404,2011,Red Riding Hood,"$37,662,162","$54,016,280","$91,678,442"
405,2009,Invictus,"$37,491,364","$87,022,647","$124,514,011"
406,2009,Under the Sea 3D,"$37,346,841","$10,638,746","$47,985,587"
407,2011,J. Edgar,"$37,306,030","$47,300,000","$84,606,030"
408,1979,The Main Event,"$37,198,813",,"$37,198,813"
409,1998,Sphere,"$37,068,294","$13,100,000","$50,168,294"
410,2006,16 Blocks,"$36,895,141","$28,700,000","$65,595,141"
411,2003,Matchstick Men,"$36,873,198","$22,292,102","$59,165,300"
412,2011,Born to be Wild 3D,"$36,869,362","$10,530,926","$47,400,288"
413,1995,Just Cause,"$36,853,222",,"$36,853,222"
414,2007,The Brave One,"$36,793,804","$32,998,900","$69,792,704"
415,1982,Best Friends,"$36,670,556",,"$36,670,556"
416,1997,Vegas Vacation,"$36,470,465",,"$36,470,465"
417,2011,Sucker Punch,"$36,392,502","$53,365,887","$89,758,389"
418,2018,The 15:17 to Paris,"$36,276,286","$19,819,914","$56,096,200"
419,2016,The Nice Guys,"$36,261,763","$23,334,984","$59,596,747"
420,1985,Mad Max Beyond Thunderdome,"$36,230,219",,"$36,230,219"
421,2019,Just Mercy,"$36,001,502","$14,393,271","$50,394,773"
422,2003,What a Girl Wants,"$35,990,505","$1,226,138","$37,216,643"
423,1997,Selena,"$35,782,828",,"$35,782,828"
424,2012,Trouble with the Curve,"$35,763,137","$12,055,776","$47,818,913"
425,1991,Other People's Money,"$35,682,000",,"$35,682,000"
426,1977,The Gauntlet,"$35,400,000",,"$35,400,000"
427,2008,Star Wars: The Clone Wars,"$35,161,554","$33,533,889","$68,695,443"
428,2015,Pan,"$35,088,320","$116,437,653","$151,525,973"
429,2011,A Very Harold & Kumar 3D Christmas,"$35,061,031","$1,204,714","$36,265,745"
430,1939,The Wizard of Oz,"$35,037,326","$311,225","$35,348,551"
431,1988,Dangerous Liaisons,"$34,700,000",,"$34,700,000"
432,1997,Addicted To Love,"$34,673,095",,"$34,673,095"
433,2003,Cradle 2 the Grave,"$34,657,731","$21,777,211","$56,434,942"
434,1998,Jack Frost,"$34,645,374",,"$34,645,374"
435,1984,The Killing Fields,"$34,609,720",,"$34,609,720"
436,2015,Hot Pursuit,"$34,580,201","$16,152,271","$50,732,472"
437,2003,Malibu’s Most Wanted,"$34,308,901","$190,303","$34,499,204"
438,2004,Alexander,"$34,297,191","$133,000,000","$167,297,191"
439,2014,This is Where I Leave You,"$34,296,320","$7,000,000","$41,296,320"
440,1981,Excalibur,"$34,200,000",,"$34,200,000"
441,2017,"Everything, Everything","$34,121,140","$27,481,996","$61,603,136"
442,2000,My Dog Skip,"$34,099,640","$1,695,679","$35,795,319"
443,1999,Mickey Blue Eyes,"$33,864,342","$20,000,000","$53,864,342"
444,2017,Geostorm,"$33,700,160","$187,095,849","$220,796,009"
445,2003,Dreamcatcher,"$33,685,268","$42,000,000","$75,685,268"
446,1991,Curly Sue,"$33,644,430",,"$33,644,430"
447,2000,Pay it Forward,"$33,508,922","$22,187,783","$55,696,705"
448,2001,See Spot Run,"$33,357,476","$9,700,076","$43,057,552"
449,2009,The Informant!,"$33,316,821","$8,454,347","$41,771,168"
450,2011,The Rite,"$33,047,633","$64,096,354","$97,143,987"
451,2011,Arthur,"$33,035,397","$14,752,546","$47,787,943"
452,1981,Sharky's Machine,"$32,984,898",,"$32,984,898"
453,2010,Hereafter,"$32,746,941","$75,913,329","$108,660,270"
454,2004,Taking Lives,"$32,682,342","$31,550,021","$64,232,363"
455,1982,Blade Runner,"$32,656,328","$6,925,446","$39,581,774"
456,1988,The Accidental Tourist,"$32,632,000",,"$32,632,000"
457,2001,Driven,"$32,616,869","$22,000,000","$54,616,869"
458,2000,Proof of Life,"$32,598,931","$30,162,074","$62,761,005"
459,2015,Entourage,"$32,363,404","$14,075,134","$46,438,538"
460,1987,The Lost Boys,"$32,222,567","$171,576","$32,394,143"
461,2017,Fist Fight,"$32,187,017","$8,099,399","$40,286,416"
462,2002,Analyze That,"$32,122,249","$22,872,508","$54,994,757"
463,2005,House of Wax,"$32,064,800","$38,000,000","$70,064,800"
464,1995,Copycat,"$32,051,917",,"$32,051,917"
465,2002,Murder by Numbers,"$31,874,869","$24,768,398","$56,643,267"
466,2011,Extremely Loud and Incredibly Close,"$31,847,881","$23,400,000","$55,247,881"
467,2007,August Rush,"$31,664,162","$32,941,600","$64,605,762"
468,1993,Hard Target,"$31,636,358",,"$31,636,358"
469,2019,Doctor Sleep,"$31,581,712","$40,139,126","$71,720,838"
470,1993,The Secret Garden,"$31,181,000",,"$31,181,000"
471,1993,A Perfect World,"$31,160,784",,"$31,160,784"
472,1967,Camelot,"$31,102,578",,"$31,102,578"
473,2016,Collateral Beauty,"$31,016,021","$54,293,072","$85,309,093"
474,2012,Joyful Noise,"$30,932,113","$225,801","$31,157,914"
475,1994,Major League II,"$30,626,182",,"$30,626,182"
476,2002,Queen of the Damned,"$30,307,804",,"$30,307,804"
477,1995,Assassins,"$30,306,268","$53,000,000","$83,306,268"
478,1982,The World According to Garp,"$30,207,324",,"$30,207,324"
479,2000,The Art of War,"$30,199,105","$10,191,826","$40,390,931"
480,2002,Ghost Ship,"$30,113,491","$38,236,393","$68,349,884"
481,1995,Free Willy 2: The Adventure Home,"$30,077,111",,"$30,077,111"
482,1993,Point of No Return,"$30,038,362",,"$30,038,362"
483,2021,In the Heights,"$29,975,167","$13,671,809","$43,646,976"
484,1979,Going in Style,"$29,900,000",,"$29,900,000"
485,1989,Lean on Me,"$29,823,140",,"$29,823,140"
486,2013,Grudge Match,"$29,817,991","$40,000,000","$69,817,991"
487,2018,Teen Titans Go! To The Movies,"$29,790,236","$21,830,357","$51,620,593"
488,1983,Twilight Zone: The Movie,"$29,500,000",,"$29,500,000"
489,1987,Nuts,"$28,866,028",,"$28,866,028"
490,2015,Point Break,"$28,782,481","$97,922,110","$126,704,591"
491,1997,Father's Day,"$28,681,080","$7,000,000","$35,681,080"
492,1992,Final Analysis,"$28,590,665",,"$28,590,665"
493,1983,High Road to China,"$28,416,459",,"$28,416,459"
494,1971,Dirty Harry,"$28,153,434",,"$28,153,434"
495,2006,The Ant Bully,"$28,142,535","$21,468,363","$49,610,898"
496,1984,Cannonball Run II,"$28,100,000",,"$28,100,000"
497,1987,Police Academy 4: Citizens on Patrol,"$28,061,343",,"$28,061,343"
498,2001,The Majestic,"$27,796,042","$9,510,292","$37,306,334"
499,1990,Memphis Belle,"$27,385,582",,"$27,385,582"
500,2012,Cloud Atlas,"$27,108,272","$103,564,882","$130,673,154"
501,1976,The Outlaw Josey Wales,"$27,000,000",,"$27,000,000"
502,2008,One Missed Call,"$26,890,041","$17,623,425","$44,513,466"
503,2015,Run All Night,"$26,461,644","$45,100,000","$71,561,644"
504,1984,Protocol,"$26,300,000",,"$26,300,000"
505,1986,Wildcats,"$26,285,544",,"$26,285,544"
506,2002,Blood Work,"$26,199,517",,"$26,199,517"
507,2023,Magic Mike’s Last Dance,"$26,033,633","$30,265,346","$56,298,979"
508,1997,Murder at 1600,"$25,842,024",,"$25,842,024"
509,1983,The Outsiders,"$25,697,647","$25,327","$25,722,974"
510,2007,Nancy Drew,"$25,584,685","$5,119,160","$30,703,845"
511,2017,The House,"$25,584,504","$5,607,921","$31,192,425"
512,2014,Her,"$25,568,251","$22,470,558","$48,038,809"
513,1988,Funny Farm,"$25,537,221",,"$25,537,221"
514,1998,Fallen,"$25,310,938",,"$25,310,938"
515,2001,Sweet November,"$25,288,103","$40,466,125","$65,754,228"
516,2007,The Reaping,"$25,126,214","$37,100,000","$62,226,214"
517,1991,Don't Tell Mom the Babysitter's Dead,"$25,122,195",,"$25,122,195"
518,1997,Midnight in the Garden of Good and Evil,"$25,078,937",,"$25,078,937"
519,1994,Wyatt Earp,"$25,052,000",,"$25,052,000"
520,2015,In the Heart of the Sea,"$25,020,758","$64,672,551","$89,693,309"
521,1977,Exorcist II: The Heretic,"$25,011,000",,"$25,011,000"
522,1993,The Man Without a Face,"$24,760,338",,"$24,760,338"
523,2010,Lottery Ticket,"$24,719,879",,"$24,719,879"
524,2006,The Wicker Man,"$24,413,467","$13,308,360","$37,721,827"
525,1980,Bronco Billy,"$24,265,659",,"$24,265,659"
526,2001,Hearts in Atlantis,"$24,185,781","$6,700,000","$30,885,781"
527,1981,Body Heat,"$24,058,000",,"$24,058,000"
528,2001,Angel Eyes,"$24,044,532","$5,500,000","$29,544,532"
529,2009,Observe and Report,"$24,007,324","$3,141,574","$27,148,898"
530,1982,Mad Max 2: The Road Warrior,"$23,667,907",$500,"$23,668,407"
531,1990,My Blue Heaven,"$23,591,472",,"$23,591,472"
532,2010,The Losers,"$23,591,432","$6,272,408","$29,863,840"
533,1995,Boys on the Side,"$23,418,200",,"$23,418,200"
534,1998,The Avengers,"$23,385,416","$25,200,000","$48,585,416"
535,1958,Auntie Mame,"$23,300,000",,"$23,300,000"
536,1999,The Iron Giant,"$23,159,305","$8,174,612","$31,333,917"
537,2014,Transcendence,"$23,022,309","$80,016,949","$103,039,258"
538,1998,Quest for Camelot,"$22,772,500","$15,400,000","$38,172,500"
539,2015,The Gallows,"$22,764,410","$18,892,064","$41,656,474"
540,2013,The Incredible Burt Wonderstone,"$22,537,881","$4,854,728","$27,392,609"
541,2002,City by the Sea,"$22,433,915","$72,017","$22,505,932"
542,2019,Richard Jewell,"$22,345,542","$20,746,668","$43,092,210"
543,1996,My Fellow Americans,"$22,331,846",,"$22,331,846"
544,1987,Empire of the Sun,"$22,238,696",,"$22,238,696"
545,2003,Love Don't Cost a Thing,"$21,897,389","$39,846","$21,937,235"
546,1991,Ricochet,"$21,756,163",,"$21,756,163"
547,2004,NASCAR: The IMAX Experience,"$21,550,235","$649,121","$22,199,356"
548,1984,"Oh God, You Devil!","$21,538,850",,"$21,538,850"
549,1983,The Right Stuff,"$21,500,000",$213,"$21,500,213"
550,1973,Enter the Dragon,"$21,483,063","$48,214","$21,531,277"
551,2000,Battlefield Earth: A Saga of the Year 3000,"$21,471,685","$8,253,978","$29,725,663"
552,2019,Shaft,"$21,360,215",,"$21,360,215"
553,1984,The Neverending Story,"$21,300,000","$127,944","$21,427,944"
554,2004,Torque,"$21,176,322","$25,000,000","$46,176,322"
555,2006,ATL,"$21,170,563",,"$21,170,563"
556,1983,Cujo,"$21,156,152",,"$21,156,152"
557,1982,Night Shift,"$21,017,056",,"$21,017,056"
558,2003,Looney Tunes: Back in Action,"$20,950,820","$33,589,842","$54,540,662"
559,2009,Shorts,"$20,919,166","$8,951,635","$29,870,801"
560,1990,Hamlet,"$20,710,451","$1,783,276","$22,493,727"
561,2016,Keanu,"$20,591,853","$96,288","$20,688,141"
562,2003,The In-Laws,"$20,440,627","$3,905,032","$24,345,659"
563,1996,The Glimmer Man,"$20,404,841","$16,000,000","$36,404,841"
564,2001,Valentine,"$20,384,136",,"$20,384,136"
565,2008,Appaloosa,"$20,211,394","$7,700,059","$27,911,453"
566,1979,Life of Brian,"$20,182,359","$366,290","$20,548,649"
567,1994,With Honors,"$20,043,254",,"$20,043,254"
568,1982,Creepshow,"$20,036,244",,"$20,036,244"
569,1975,Barry Lyndon,"$20,000,000","$217,968","$20,217,968"
570,1981,Outland,"$20,000,000",,"$20,000,000"
571,1980,Altered States,"$19,853,892",$6,"$19,853,898"
572,1987,Innerspace,"$19,816,619",,"$19,816,619"
573,2004,Yu-Gi-Oh,"$19,762,690","$8,952,313","$28,715,003"
574,2001,The Pledge,"$19,719,930","$9,686,202","$29,406,132"
575,2001,Summer Catch,"$19,693,891",,"$19,693,891"
576,1988,Police Academy 5: Assignment: Miami Beach,"$19,510,000",,"$19,510,000"
577,1995,It Takes Two,"$19,474,589",,"$19,474,589"
578,2013,Beautiful Creatures,"$19,452,138","$40,830,738","$60,282,876"
579,1994,Little Giants,"$19,306,362",,"$19,306,362"
580,1982,Deathtrap,"$19,282,000",,"$19,282,000"
581,2006,Beerfest,"$19,185,184","$974,132","$20,159,316"
582,2012,To the Arctic 3D,"$19,128,441","$4,521,674","$23,650,115"
583,1988,Above the Law,"$18,869,631",,"$18,869,631"
584,1981,Under the Rainbow,"$18,826,490",,"$18,826,490"
585,2000,Best in Show,"$18,621,249","$2,074,164","$20,695,413"
586,2017,CHiPS,"$18,600,152","$4,590,140","$23,190,292"
587,1992,Singles,"$18,471,850",,"$18,471,850"
588,2009,The Invention of Lying,"$18,451,251","$14,263,567","$32,714,818"
589,1985,Ladyhawke,"$18,400,000",,"$18,400,000"
590,2005,North Country,"$18,324,242","$5,352,529","$23,676,771"
591,1994,Love Affair,"$18,272,894",,"$18,272,894"
592,2012,Chernobyl Diaries,"$18,119,640","$24,292,081","$42,411,721"
593,2018,They Shall Not Grow Old,"$17,956,913","$3,021,610","$20,978,523"
594,1980,Honeysuckle Rose,"$17,815,212",,"$17,815,212"
595,2010,Going the Distance,"$17,804,299","$25,799,691","$43,603,990"
596,1997,The Postman,"$17,650,704","$3,190,419","$20,841,123"
597,1988,Frantic,"$17,637,000",,"$17,637,000"
598,1975,Alice Doesn't Live Here Anymore,"$17,600,000",,"$17,600,000"
599,2003,A Mighty Wind,"$17,583,468","$921,071","$18,504,539"
600,1984,Lassiter,"$17,513,452",,"$17,513,452"
601,2017,Father Figures,"$17,501,244","$3,537,197","$21,038,441"
602,2000,Red Planet,"$17,480,890","$15,983,079","$33,463,969"
603,2009,Inkheart,"$17,303,424","$49,352,514","$66,655,938"
604,1995,Murder in the First,"$17,300,238",,"$17,300,238"
605,2002,Eight Legged Freaks,"$17,266,505","$19,455,806","$36,722,311"
606,1986,The Mission,"$17,218,000","$3,578,024","$20,796,024"
607,1989,Her Alibi,"$17,195,050",,"$17,195,050"
608,2019,The Good Liar,"$17,156,058","$16,053,878","$33,209,936"
609,1991,The NeverEnding Story II: The Next Chapter,"$17,116,963",,"$17,116,963"
610,1996,Diabolique,"$17,100,266",,"$17,100,266"
611,2001,Pokemon 3: The Movie,"$17,052,128","$51,400,000","$68,452,128"
612,1992,Freejack,"$17,033,142",,"$17,033,142"
613,2010,Splice,"$17,010,170","$11,532,324","$28,542,494"
614,2001,Rock Star,"$16,991,902","$2,325,863","$19,317,765"
615,1999,True Crime,"$16,676,845",,"$16,676,845"
616,2006,Unaccompanied Minors,"$16,655,224","$5,315,607","$21,970,831"
617,1991,Defending Your Life,"$16,371,128",,"$16,371,128"
618,2002,White Oleander,"$16,357,770","$5,300,000","$21,657,770"
619,1987,Burglar,"$16,337,355",,"$16,337,355"
620,2004,The Whole Ten Yards,"$16,323,969","$10,000,000","$26,323,969"
621,1988,Crossing Delancey,"$16,262,000",,"$16,262,000"
622,1997,Fire Down Below,"$16,148,906",,"$16,148,906"
623,1987,Over the Top,"$16,057,580",,"$16,057,580"
624,1989,Next of Kin,"$15,942,628",,"$15,942,628"
625,2008,Pride and Glory,"$15,740,721","$16,522,145","$32,262,866"
626,2001,3000 Miles to Graceland,"$15,738,632","$2,970,216","$18,708,848"
627,1991,Switch,"$15,545,943",,"$15,545,943"
628,1990,Reversal of Fortune,"$15,445,131",,"$15,445,131"
629,1990,The Bonfire of the Vanities,"$15,432,314",,"$15,432,314"
630,2021,The Little Things,"$15,342,746","$14,392,476","$29,735,222"
631,2000,Bait,"$15,325,127","$146,842","$15,471,969"
632,1990,Quick Change,"$15,260,154",,"$15,260,154"
633,1980,First Family,"$15,198,912",,"$15,198,912"
634,2021,King Richard,"$15,138,334","$22,856,532","$37,994,866"
635,2007,The Invasion,"$15,074,191","$25,072,851","$40,147,042"
636,2009,The Box,"$15,051,977","$19,304,783","$34,356,760"
637,2000,Get Carter,"$14,967,182","$4,450,000","$19,417,182"
638,1992,Pure Country,"$14,941,630",,"$14,941,630"
639,1988,Arthur 2: On the Rocks,"$14,681,192",,"$14,681,192"
640,1998,Soldier,"$14,623,082",,"$14,623,082"
641,1987,Superman IV: The Quest for Peace,"$14,522,355","$22,177,645","$36,700,000"
642,1980,"Oh, God! Book II","$14,504,277",,"$14,504,277"
643,1992,Memoirs of an Invisible Man,"$14,358,033",,"$14,358,033"
644,1986,The Mosquito Coast,"$14,302,000",,"$14,302,000"
645,2002,Ballistic: Ecks vs. Sever,"$14,294,842",,"$14,294,842"
646,2003,Alex & Emma,"$14,208,384","$1,150,199","$15,358,583"
647,2004,New York Minute,"$14,018,364","$7,138,351","$21,156,715"
648,1985,Sesame Street Presents Follow That Bird,"$13,961,370",,"$13,961,370"
649,1997,The Man Who Knew Too Little,"$13,801,755",,"$13,801,755"
650,2006,Letters from Iwo Jima,"$13,756,082","$54,111,916","$67,867,998"
651,1993,The Crush,"$13,609,396",,"$13,609,396"
652,2001,Osmosis Jones,"$13,596,911",,"$13,596,911"
653,2020,The Way Back,"$13,590,514","$972,895","$14,563,409"
654,2002,Juwanna Mann,"$13,571,817","$200,000","$13,771,817"
655,1986,One Crazy Summer,"$13,431,806",,"$13,431,806"
656,2021,Malignant,"$13,391,791","$20,582,630","$33,974,421"
657,2001,American Outlaws,"$13,264,986","$336,123","$13,601,109"
658,1992,Class Act,"$13,226,469",,"$13,226,469"
659,2002,FearDotCom,"$13,208,023","$81,267","$13,289,290"
660,1997,Rosewood,"$13,104,494",,"$13,104,494"
661,1985,Vision Quest,"$13,000,000",,"$13,000,000"
662,1979,Time After Time,"$13,000,000",,"$13,000,000"
663,2003,Gods and Generals,"$12,882,934","$41,002","$12,923,936"
664,1988,Everybody’s All-American,"$12,638,294",,"$12,638,294"
665,2014,Winter’s Tale,"$12,600,231","$16,974,802","$29,575,033"
666,1998,Why Do Fools Fall In Love?,"$12,506,676",,"$12,506,676"
667,1984,Irreconcilable Differences,"$12,400,000",,"$12,400,000"
668,2000,Ready to Rumble,"$12,372,410",,"$12,372,410"
669,1986,Club Paradise,"$12,308,521",,"$12,308,521"
670,1993,True Romance,"$12,281,000","$362,293","$12,643,293"
671,2015,The 33,"$12,227,722","$16,059,767","$28,287,489"
672,2004,Chasing Liberty,"$12,189,514","$102,461","$12,291,975"
673,2019,The Kitchen,"$12,180,032","$3,599,229","$15,779,261"
674,1989,Pink Cadillac,"$12,143,484",,"$12,143,484"
675,1999,The King and I,"$12,064,440",,"$12,064,440"
676,1979,The Frisco Kid,"$12,000,000",,"$12,000,000"
677,2019,Blinded by the Light,"$11,901,145","$7,628,769","$19,529,914"
678,1981,Back Roads,"$11,809,387",,"$11,809,387"
679,1988,Caddyshack II,"$11,798,302",,"$11,798,302"
680,2014,Island of Lemurs: Madagascar,"$11,750,928","$419,850","$12,170,778"
681,1989,Police Academy 6: City Under Siege,"$11,567,000",,"$11,567,000"
682,1989,Young Einstein,"$11,536,599",,"$11,536,599"
683,1995,Fair Game,"$11,497,497","$14,600,000","$26,097,497"
684,2002,The Powerpuff Girls,"$11,411,644","$5,014,057","$16,425,701"
685,1994,Thumbelina,"$11,373,501",,"$11,373,501"
686,2017,Unforgettable,"$11,368,012","$4,853,199","$16,221,211"
687,1996,Michael Collins,"$11,317,898","$16,480,285","$27,798,183"
688,1999,Chill Factor,"$11,263,966",,"$11,263,966"
689,2007,In the Land of Women,"$11,052,958","$3,087,444","$14,140,402"
690,1985,Krush Groove,"$11,052,713",,"$11,052,713"
691,2007,The Astronaut Farmer,"$11,003,643","$137,570","$11,141,213"
692,1981,Wolfen,"$11,000,000",,"$11,000,000"
693,1988,Moving,"$10,815,378",,"$10,815,378"
694,1992,Stay Tuned,"$10,736,401",,"$10,736,401"
695,1985,After Hours,"$10,609,321","$15,072","$10,624,393"
696,1999,Three to Tango,"$10,570,375",,"$10,570,375"
697,1997,Mad City,"$10,561,038",,"$10,561,038"
698,2010,Jonah Hex,"$10,547,117","$475,579","$11,022,696"
699,1998,Home Fries,"$10,513,979",,"$10,513,979"
700,2013,Getaway,"$10,501,938","$1,312,051","$11,813,989"
701,1996,Two if by Sea,"$10,493,670",,"$10,493,670"
702,1943,Casablanca,"$10,462,500","$102,732","$10,565,232"
703,1983,Deal of the Century,"$10,400,000",,"$10,400,000"
704,2016,Live by Night,"$10,378,555","$11,395,877","$21,774,432"
705,1990,The Witches,"$10,360,553","$4,989,395","$15,349,948"
706,1983,The Man with Two Brains,"$10,353,438",,"$10,353,438"
707,2021,Cry Macho,"$10,310,734","$4,394,178","$14,704,912"
708,1985,Better Off Dead...,"$10,297,601",,"$10,297,601"
709,2009,Whiteout,"$10,275,638","$1,979,108","$12,254,746"
710,1981,Rollover,"$10,217,873",,"$10,217,873"
711,2006,The Fountain,"$10,144,010","$5,317,628","$15,461,638"
712,1983,Lovesick,"$10,143,618",,"$10,143,618"
713,1986,Under the Cherry Moon,"$10,090,429",,"$10,090,429"
714,1985,Lost in America,"$10,079,206",,"$10,079,206"
715,1993,Boiling Point,"$10,058,318",,"$10,058,318"
716,1995,A Little Princess,"$10,015,449",,"$10,015,449"
717,1978,The Swarm,"$10,000,000",,"$10,000,000"
718,1980,Up the Academy,"$10,000,000",,"$10,000,000"
719,1981,So Fine,"$10,000,000",,"$10,000,000"
720,1987,Disorderlies,"$10,000,000",,"$10,000,000"
721,1998,Wrongfully Accused,"$9,642,860",,"$9,642,860"
722,2013,Bullet to the Head,"$9,489,829","$13,108,140","$22,597,969"
723,1991,Guilty by Suspicion,"$9,445,090",,"$9,445,090"
724,1977,Bobby Deerfield,"$9,300,000",,"$9,300,000"
725,2019,Motherless Brooklyn,"$9,277,736","$9,199,540","$18,477,276"
726,1985,Target,"$9,023,199",,"$9,023,199"
727,1992,White Sands,"$9,011,574",,"$9,011,574"
728,2023,House Party,"$9,011,251","$202,484","$9,213,735"
729,1981,Prince of the City,"$9,000,000",,"$9,000,000"
730,1986,Deadly Friend,"$8,988,731",,"$8,988,731"
731,1988,Clean and Sober,"$8,674,093",,"$8,674,093"
732,1980,The Big Brawl,"$8,527,743",,"$8,527,743"
733,1991,Nothing But Trouble,"$8,479,793",,"$8,479,793"
734,1980,The Awakening,"$8,415,112",,"$8,415,112"
735,2002,Death to Smoochy,"$8,355,815","$18,247","$8,374,062"
736,1992,Christopher Columbus: The Discovery,"$8,251,071",,"$8,251,071"
737,2021,The Many Saints of Newark,"$8,237,403","$4,494,636","$12,732,039"
738,1971,McCabe & Mrs. Miller,"$8,200,000",,"$8,200,000"
739,2014,Inherent Vice,"$8,110,975","$6,629,368","$14,740,343"
740,1951,A Streetcar Named Desire,"$8,000,000","$8,372","$8,008,372"
741,1984,The Little Drummer Girl,"$7,828,841",,"$7,828,841"
742,1991,If Looks Could Kill,"$7,781,025",,"$7,781,025"
743,1990,Cry-Baby,"$7,735,790",$313,"$7,736,103"
744,1991,Strictly Business,"$7,683,267",,"$7,683,267"
745,1995,The Amazing Panda Adventure,"$7,590,169",,"$7,590,169"
746,1972,The Cowboys,"$7,500,000",,"$7,500,000"
747,1979,Agatha,"$7,500,000",,"$7,500,000"
748,1988,Stealing Home,"$7,467,504",,"$7,467,504"
749,2021,Those Who Wish Me Dead,"$7,407,200","$10,194,431","$17,601,631"
750,1997,Wild America,"$7,365,417",,"$7,365,417"
751,1987,Who's That Girl?,"$7,305,000",,"$7,305,000"
752,1989,Dead Calm,"$7,032,915",,"$7,032,915"
753,2015,Our Brand is Crisis,"$7,002,261","$1,592,297","$8,594,558"
754,1979,The Great Santini,"$7,000,000",,"$7,000,000"
755,1951,Strangers on a Train,"$7,000,000","$21,516","$7,021,516"
756,1994,Trial by Jury,"$6,971,777",,"$6,971,777"
757,1993,Fearless,"$6,971,266",,"$6,971,266"
758,1989,Dead Bang,"$6,935,216",,"$6,935,216"
759,1988,A Cry in the Dark,"$6,908,797",,"$6,908,797"
760,2007,In the Valley of Elah,"$6,777,741","$17,711,409","$24,489,150"
761,1989,Roger & Me,"$6,706,368",,"$6,706,368"
762,1984,Swing Shift,"$6,700,000",,"$6,700,000"
763,1992,The Mambo Kings,"$6,698,607",,"$6,698,607"
764,2002,Femme Fatale,"$6,630,252","$10,200,000","$16,830,252"
765,1999,Lost and Found,"$6,552,255",,"$6,552,255"
766,1983,Star 80,"$6,472,990",,"$6,472,990"
767,2004,The Big Bounce,"$6,471,394","$154,721","$6,626,115"
768,1998,Almost Heroes,"$6,175,688",,"$6,175,688"
769,2004,Un long dimanche de fiançailles,"$6,167,817","$63,554,627","$69,722,444"
770,1990,Men Don't Leave,"$6,050,018",,"$6,050,018"
771,1970,Chisum,"$6,000,000",,"$6,000,000"
772,1988,Hot to Trot,"$6,000,000",,"$6,000,000"
773,1951,Captain Horatio Hornblower R.N.,"$6,000,000",,"$6,000,000"
774,1993,Heaven & Earth,"$5,840,300",,"$5,840,300"
775,1983,Local Hero,"$5,767,363","$72,677","$5,840,040"
776,2007,Lucky You,"$5,755,286","$766,543","$6,521,829"
777,1997,One Eight Seven,"$5,747,802",,"$5,747,802"
778,1987,Surrender,"$5,711,976",,"$5,711,976"
779,2008,RocknRolla,"$5,700,626","$22,093,713","$27,794,339"
780,1993,Batman: Mask of the Phantasm,"$5,635,204",,"$5,635,204"
781,2006,A Scanner Darkly,"$5,501,616","$1,903,468","$7,405,084"
782,2021,Judas and the Black Messiah,"$5,478,009","$1,575,940","$7,053,949"
783,2019,The Goldfinch,"$5,332,621","$4,097,289","$9,429,910"
784,1984,Once Upon a Time in America,"$5,321,508","$256,048","$5,577,556"
785,1980,Divine Madness!,"$5,318,098",,"$5,318,098"
786,2000,The In Crowd,"$5,217,498",,"$5,217,498"
787,1988,Clara's Heart,"$5,194,491",,"$5,194,491"
788,2003,Grind,"$5,111,630","$7,999","$5,119,629"
789,2000,Gossip,"$5,108,820","$7,482,450","$12,591,270"
790,1984,American Dreamer,"$5,021,751",,"$5,021,751"
791,1979,The Wanderers,"$5,017,811","$18,000,000","$23,017,811"
792,1953,"The Beast from 20,000 Fathoms","$5,000,000",,"$5,000,000"
793,1989,Second Sight,"$5,000,000",,"$5,000,000"
794,2023,Mummies,"$4,960,498","$48,372,610","$53,333,108"
795,2019,The Sun is Also a Star,"$4,950,029","$730,881","$5,680,910"
796,2012,The Apparition,"$4,936,819","$5,700,462","$10,637,281"
797,1985,Rainbow Brite and the Star Stealer,"$4,889,971",,"$4,889,971"
798,1989,See You in the Morning,"$4,795,009",,"$4,795,009"
799,1984,"Grandview, U.S.A.","$4,743,119",,"$4,743,119"
800,1996,Joe's Apartment,"$4,616,355",,"$4,616,355"
